slang,formal
aq,aku
brani,berani
gak,tidak
km,kamu
aq,aku
jalan2,jalan-jalan
yaaa,ya
asyikkkkk,asyik
iriiiii,iri
ngajak,mengajak
yakk,ya
naaaaahh,nah
kka,kakak
jgn,jangan
yak,ya
ttep,tetap
sperti,seperti
jrang,jarang
msuk,masuk
gossip2.an,gosip-gosipan
makkk,mak
ngapain,mengapai
guee,gue
pengennn,ingin
ntar,sebentar
yeee,ya
klo,kalau
udh,sudah
gilzz,gila
nyaru,menyaru
aja,saja
kk,kakak
gilaaa,gila
jd,jadi
kebarat2an,kebarat-baratan
ohh,oh
mantabs,mantab
jgan,jangan
mlu,malu
payahh,payah
ntaf,mantap
beneran,benaran
"mudah""n,mudah-mudahan"
trus,terus
gada,tidak ada
yg,yang
gada,tidak ada
yg,yang
milikin,memiliki
kamo,kamu
inih,ini
tuhh,tuh
suru,suruh
syantik,cantik
sukaaaa,suka
sukaaaaaa,suka
kirain,mengira
mehoonggggg,mahal
apikkkk,apik
yach,ya
kereenn,keren
ginii,begini
ayoook,ayo
yoiii,yoi
gituuu,begitu
iyaaa,iya
pgn,ingin
liptsk,lipstik
dr,dari
nyeplak,menjiplak
bgt,sekali
kyk,seperti
cw,cewek
cw,cewek
kmarin,kemarin
mengncang,mengencang
tauu,tahu
ksh,kasih
skrng,sekarang
mksh,terima kasih
gara2,gara-gara
ank,anak
skitar,sekitar
ktmu,ketemu
sma,sama
tmen,teman
skrg,sekarang
dlu,dahulu
skrg,sekarang
ats,atas
donk,dong
heii,hai
yg,yang
diputusin,diputuskan
pcrnya,pacarnya
gara2,gara-gara
mnjual,menjual
ngadain,mengadakan
ga,tidak
nyangka,menyangka
kkak,kakak
rekomendasiin,merekomendasikan
sihhh,sih
cooocok,cocok
mrip,mirip
bgt,sekali
sma,sama
mama.nyy,mamanya
wkt,waktu
lht,lihat
gak,tidak
bosenin,membosankan
kmu,kamu
bukn,bukan
sey,sih
yng,yang
cantikkk,cantik
banger,sekali
kaa,kak
bngt,sekali
eakyu,waktu
cntik,cantik
ama,sama
amiiin,amin
kakanya,kakaknya
doeloe,dahulu
kk,kakak
cantikkkk,cantik
bngtt,sekali
udh,sudah
iyak,iya
malh,malah
mlah,malah
kk,kakak
ngak,tidak
laki2,laki-laki
gag,tidak
fhotonya,fotonya
bleh,boleh
km,kamu
brp,berapa
tnggl,tanggal
brp,berapa
tanteny,tantenya
ky,kaya
qt,kita
dlu,dahulu
sklinyaa,sekalinya
ayoo,ayo
km,kamu
bs,bisa
jd,jadi
kk,kakak
yah,ya
w,gue
dramaa,drama
niiih,nih
bisaa,bisa
lha,lah
dunk,dong
lihaat,lihat
yuwkkk,ayo
nnti,nanti
editannn,editan
mw,mau
thu,tuh
mai,mau
kamuu,kamu
pastii,pasti
bisaaa,bisa
kejuu,keju
kereen,keren
nama.a,namanya
kmauan,kemauan
ayoo,ayo
ahhhh,ah
yuuuuk,ayo
dmana,dimana
disiniii,disini
cobaa,coba
bayangin,bayangkan
yaudh,ya sudah
bayangin,bayangkan
dl,dahulu
ajaaa,saja
tuhhh,tuh
amploppp,amplop
mo,mau
kek,seperti
gini,begini
yaaa,ya
sayangg'',sayang-sayang
nantii,nanti
aminnnn,amin
aminnnnn,amin
gakuat,tidak kuat
yukkkk,ayo
nged,sekali
nantik,nanti
ksitu,kesitu
yng,yang
bangeett,sekali
slalu,selalu
liad,lihat
kluarga,keluarga
biasahhh,biasa
bgt,sekali
sma,sama
kluarga,keluarga
ama,sama
tutorialx,tutorialnya
pke,pakai
yg,yang
dpke,dipakai
kk,kakak
dpke,dipakai
donk,dong
yank,sayang
liat,lihat
fhoto,foto
kerenn,keren
binggo,sekali
rekomndd,rekomendasi
donk,dong
dmn,dimana
pngn,ingin
bli2n,beli-belikan
bwt,buat
wado,waduh
guaa,gua
yaakkk,ya
bangetttttyt,sekali
bangettttt,sekali
bangg,bang
kangeeeeeeeeennnnnnnn,kangen
kaliannnnnn,kalian
rinduuuuuuuuuu,rindu
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kaliannnnnm,kalian
kangeeeeeeeeeeennnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kangennn,kangen
kaliannnnnnn,kalian
th2,tahun-tahun
smoga,semoga
dl,dahulu
smpt,sempat
blg,bilang
trserah,terserah
ad,ada
yg,yang
d,di
cwo,cowok
trus,terus
prnah,pernah
blg,bilang
lg,lagi
wlwpun,walaupun
trpsah,terpisah
klw,kalau
mmg,memang
alloh,allah
prsatukn,persatukan
mmg,memang
sdh,sudah
klw,kalau
g,tidak
slh,salah
ngomng,mengomong
mdh2an,mudah-mudahan
sm,sama
skedar,sekadar
sperti,seperti
kangennn,kangen
kangeeerrn,kangen
pulak,pula
tpi,tetapi
terrrrbaik,terbaik
jorookknya,joroknya
ihhhhh,ih
cobaa,coba
padahall,padahal
jorokkkk,jorok
mualll,mual
klow,kalau
muke,muka
yg,yang
bner,benar
ajh,saja
taiiii,tahi
seneeeeeng,senang
yaa,ya
ga,tidak
nyesel,menyesal
besarin,membesarkan
mksh,terima kasih
tanyang,tayang
ber2,berdua
jngan,jangan
trus,terus
ngelarang,melarang
kerreeen,keren
udh,sudah
pantess,pantas
bngettt,sekali
sampe,sampai
baperr,bawa perasaan
sudh,sudah
ga,tidak
sbr,sabar
pngen,ingin
nntn,menonton
ht,hati
pemainy,pemainnya
aq,aku
jga,juga
bnget,sekali
ama,sama
aq,aku
jg,juga
aqu,aku
ngeliat,melihat
sampe,sampai
baper,bawa perasaan
smoga,semoga
gk,tidak
akn,akan
bnget,sekali
nyampe,sampai
kbawa,terbawa
bradegan,beradegan
sm,sama
baper,bawa perasaan
bnget,sekali
smga,semoga
amiiinnnn,amin
mlm,malam
nikahin,menikahi
hadeuh,aduh
bener2,benar-benar
nyambung,menyambung
aq,aku
liyat,lihat
krn,karena
sk,suka
bgt,sekali
sm,sama
kluarga,keluarga
adengan,adegan
yaaa,ya
adengan,adegan
engga,tidak
bngtt,sekali
bingit,sekali
dapetin,mendapati
krn,karena
model2,model-model
sitayngin,ditayangkan
cocokkk,cocok
bgt,sekali
mahhhh,mah
bangett,sekali
cocokny,cocoknya
smoga,semoga
kaka,kakak
iniw,ini
sma,sama
jga,juga
q,ku
setju,setuju
bngt,sekali
sma,sama
bnern,benaran
pcrn,pacaran
klian,kalian
cocokkkk,cocok
bngett,sekali
abes,habis
pngen,ingin
kyk,seperti
gtu,begitu
ntar,sebentar
kek,seperti
gini,begini
br,baru
mksdny,maksudnya
tu,itu
knp,kenapa
kmu,kamu
brpa,berapa
tu,itu
ihh,ih
bgt,sekali
sma,sama
aamiin,amin
dlu,dahulu
kesampean,kesampaian
beginiiii,begini
ntr,sebentar
ak,aku
beliin,membelikan
kya,kaya
gini,begini
keq,kek
ngeliat,melihat
ngerasa,merasa
km,kamu
sygkuu,sayangku
lucuuuu,lucu
ngeselin,mengesalkan
bkin,bikin
masi,masih
baju'a,bajunya
fto,foto
gtu,begitu
jg,juga
bgt,sekali
gara'',gara-gara
teruss,terus
pokok'a,pokoknya
bg,bang
ubur2,ubur-ubur
kuyy,ayo
bentarr,bentar
kuyy,ayo
klw,kalau
dureen,duren
ajibb,ajib
mahall,mahal
yukk,ayo
niiihh,nih
ubur2,ubur-ubur
donk,dong
imuuttt,imut
imuttzz,imut
nha,nya
asliii,asli
konten2,konten-konten
rasain,rasai
daaaah,deh
asliiii,asli
cantiknnnnyaaaaaaa,cantiknya
yuuk,ayo
ngelihatnya,melihatnya
aqu,aku
bdn,badan
na,nya
ibu2,ibu-ibu
bgt,sekali
lau,kau
yaaa,ya
cantikkk,cantik
kakkk,kak
cantikk,cantik
sexxi,seksi
bgt,sekali
bulet,bulat
ituu,itu
ngocok,mengocok
ni,ini
yg,yang
mw,mau
nyoba,mencoba
ikutin,mengikuti
gn,begini
yaahhh,ya
kencqng,kencang
ak,aku
kra,kira
kra,kira
msh,masih
diginikan,dibeginikan
"coret"",coret-coret"
lahh,lah
gw,gue
gambarin,gambarkan
ntr,sebentar
klo,kalau
gw,gue
qt,kita
ky,kaya
gini,begini
y,ya
bener2,benar-benar
ngerii,ngeri
digambarin,digambarkan
klen,kalian
kek,seperti
bangke,bangkai
tp,tetapi
gw,gue
kog,kok
jd,jadi
yha,ya
liatnya,lihatnya
bedanyaaa,bedanya
sm,sama
negri,negeri
mbk,mbak
pgin,ingin
fto,foto
krudungan,kerudungan
kakk,kak
ajaa,saja
maksutku,maksudku
kerennnnn,keren
njirr,anjir
ngerasa,merasa
bgt,sekali
jd'y,jadinya
tp,tetapi
manisnyaaaa,manisnya
thun,tahun
brp,berapa
bgt,sekali
mbg,mbak
cantikk,cantik
bangeet,sekali
sm,sama
km,kamu
jgn,jangan
ngaco,mengaco
ngomen,mengomentari
msh,masih
kaaakk,kak
gituh,begitu
tenggah,tengah
lucuuuu,lucu
yaa,ya
tpi,tetapi
akuuu,aku
uuuuuaaaaaaaaaappppppppppiiiiiiiiiiiiiiiiiikkkkkkkkkkkkkkkk,apik
kocakkkkkkkkkkkkkk,kocak
ksukaanmuuu,kesukaanmu
bagiii,bagi
ayooo,ayo
nontonx,menontonnya
yach,ya
dpn,depan
pi,tetapi
tu,itu
penasarannnn,penasaran
gilakkkkkk,gila
mauuu,mau
nontoonnn,menonton
cepet2,cepat-cepat
kepingin,ingin
nontonnnn,menonton
deeek,dek
ntappp,mantap
deg2an,deg-degan
liatnya,lihatnya
cyiiin,cinta
iyha,iya
kureeeen,keren
muantaap,mantap
nontonx,menontonnya
ga,tidak
pake,pakai
ngantri,mengantri
bli,beli
org,orang
nraktir,mentraktir
nonton,menonton
sbnyak,sebanyak
penasaraaann,penasaran
ga,tidak
kyk,seperti
ayoooo,ayo
nii,ini
nontonya,menontonnya
k,ke
kl,kalau
nunggu,menunggu
dpt,dapat
qta,kita
gw,gue
peen,ingin
lw,lu
gga,tidak
nunggu,menunggu
yaah,ya
asikkk,asik
gilak,gila
mcm,macam
ceritax,ceritanya
yoooiii,yoi
daah,deh
kuy,ayo
udahh,sudah
tauuuuu,tahu
ngga,tidak
sabarrrrr,sabar
kqmu,kamu
banggain,banggakan
ngadain,mengadakan
ngak,tidak
ngadain,mengadakan
thn,tahun
knp,kenapa
pengan,ingin
ngadain,mengadakan
gk,tidak
sendeng,senang
simpen,simpan
gakk,tidak
bagiin,bagikan
nangis,menangis
nanggepin,menanggapi
pingin,ingin
gk,tidak
sma,sama
kapn,kapan
barang2,barang-barang
sma,sama
kirimin,mengirimi
tpi,tetapi
gk,tidak
senengin,senangi
ngasih,mengasih
asikkk,asik
udh,sudah
ama,sama
ampunnnn,ampun
bln,bulan
senengg,senang
teruzzz,terus
gtu,begitu
mantabb,mantab
sumpahh,sumpah
yaa,ya
smua,semua
diluarann,diluaran
trbaik,terbaik
dlam,dalam
smua,semua
anjirrrr,anjir
jendess,janda
dh,deh
sichh,sih
jgn,jangan
pgn,ingin
namnya,namanya
kaka,kakak
gk,tidak
ninggalin,meninggalkan
orng,orang
geh,gih
ma,sama
nggak,tidak
sma,sama
kk,kakak
ber2,berdua
22nya,dua-duanya
aduuhhh,aduh
miripp,mirip
silauuu,silau
waww,wow
kerenn,keren
uga,juga
njiirr,anjir
bgs,bagus
bgt,sekali
kesinii,kesini
gemay,gemas
dstu,disitu
tmpt,tempat
wiiiihhhh,wih
samoga,semoga
aamiin,amin
kereennn,keren
cobaa,coba
tuhh,tuh
wahh,wah
gk,tidak
nyangkaa,menyangka
hasilnyaaa,hasilnya
bangetttt,sekali
dahhhh,dah
cmn,cuman
mudah2,mudah-mudah
bisaa,bisa
jugaakk,juga
prnh,pernah
diapa2in,diapa-apai
yaak,ya
lhoo,loh
mnta,minta
donx,dong
kyk,seperti
gthu,begitu
nda,tidak
maauuu,mau
pacarrr,pacar
idamann,idaman
naturalllll,natural
bnyak,banyak
berntung,beruntung
merka,mereka
jln2,jalan-jalan
romntis,romantis
slamat,selamat
ulan,ulang
th,tahun
mngkin,mungkin
klau,kalau
diksi,dikasih
bgini,begini
sipp,sip
masi,masih
taun,tahun
jugak,juga
nungguin,menunggu
ngeluarin,mengeluarkan
keciill,kecil
ughaa,juga
"tante"",tante-tante"
thn,tahun
ngerasa,merasa
gw,gue
banged,sekali
abeees,habis
kapan2,kapan-kapan
adain,mengadakan
bsa,bisa
gk,tidak
bosen2,bosan-bosan
sempurnaaaaa,sempurna
kaan,kan
kece2,kece-kece
badaaiii,badai
beneraan,benaran
cantiiik,cantik
bgtt,sekali
kuatttt,kuat
cantiiiiiiik,cantik
cantiknyaaa,cantiknya
pgn,ingin
bae2,baik-baik
lg,lagi
cantikkk,cantik
bgd,sekali
mb,mbak
catiiiiik,cantik
bangeet,sekali
subahanallah,subhanallah
cantikkk,cantik
bgt,sekali
jaman2nya,jaman-jamannya
dapetin,mendapati
padet,padat
ga,tidak
buktiin,buktikan
km,kamu
yg,yang
cantiq,cantik
ak,aku
km,kamu
smua,semua
"pasien""nya,pasien-pasiennya"
ngantri,mengantri
lohh,loh
bgt,sekali
mngkin,mungkin
utk,untuk
ngasih,mengasih
keeeerrrreeeennnnnnnnn,keren
woow,wow
choker2,choker-choker
skarang,sekarang
skrang,sekarang
kaka,kakak
lohh,loh
gara2,gara-gara
buktiin,membuktikan
bangettttt,sekali
hadirrr,hadir
hadirr,hadir
jelashh,jelas
sekali2,sekali-kali
mbaaa,mbak
temen,teman
kerenn,keren
hadirrr,hadir
ngomong,mengomong
hidupppp,hidup
nyebelin,menyebalkan
tp,tetapi
diliatnya,dilihatnya
ga,tidak
abis2,habis-habis
gpp,tidak apa-apa
para2,parah-parah
bangeeet,sekali
allahhhhhhh,allah
gemesnya,gemasnya
ilang2,hilang-hilang
mslh,masalah
kmi,kami
ngilangin,menghilangkan
tbuh,tubuh
itungan,hitungan
keliatan,kelihatan
ledekin,ledeki
tmn2,teman-teman
diputusin,diputuskan
gara2,gara-gara
km,kamu
gara2,gara-gara
repot2,repot-repot
oles2,oles-oles
ckup,cukup
dptkan,dapatkan
artis2,artis-artis
bener2,benar-benar
nyesel,menyesal
ayooo,ayo
saranin,menyarankan
kalii,kali
ajaa,saja
ninggiin,meninggikan
ledekin,ledeki
tmn2,teman-teman
baget,sekali
dri,dari
bngt,sekali
kl,kalau
lht,lihat
mnta,minta
kira2,kira-kira
lgsg,langsung
mngkin,mungkin
ngk,tidak
ahh,ah
pas2an,pas-pasan
balesin,membalas
gausah,tidak usah
kyk,seperti
sukaaa,suka
lutuna,lucunya
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
ihh,ih
sumpahh,sumpah
alamii,alami
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
bgt,sekali
imut2,imut-imut
gtu,begitu
jagain,jaga
yahbh,ya
msih,masih
macem2,macam-macam
neko2,neko-neko
ngeliat,melihat
sktika,seketika
dr,dari
td,tadi
lutu,lucu
yg,yang
yaa,ya
yha,ya
wowwww,wow
massss,mas
kesiniii,kesini
bnget,sekali
"keren"",keren-keren"
"jalan""nya,jalan-jalannya"
masyaallahhh,masyaallah
kerennn,keren
ksni,kesini
begok,bego
bkan,bukan
jgk,juga
gda,tidak ada
tmpt,tempat
mksd,maksud
aqu,aku
bawak,bawa
jdi,jadi
it,itu
bkan,bukan
nti,nanti
pgi,pagi
yahh,ya
keeeeeren,keren
bnget,sekali
baguusss,bagus
mna,mana
liat,lihat
lg,lagi
bnget,sekali
nahannnn,tahan
lucuu,lucu
bagaatt,sekali
gayannxa,gayanya
kereeeen,keren
uda,sudah
ngekeh,kekeh
bg,bang
xlian,kalian
b3,bertiga
bnget,sekali
lg,lagi
ihhh,ih
nyebelin,menyebalkan
bnget,sekali
lcu,lucu
pait,pahit
pait,pahit
pait,pahit
koplakkk,koplak
kerass,keras
yachhh,ya
gokil,gila
bgt,sekali
kmu,kamu
yg,yang
ngelihat,melihat
pngn,ingin
ngelawak,melawak
iiihhhhh,ih
gokil,gila
nyolotinnnn,menyolot
beratttttttt,berat
lucuu,lucu
cantiikkkk,cantik
kaa,kak
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
kk,kakak
pakek,pakai
kanapa,kenapa
ngk,tidak
pakek,pakai
cans,cantik
pke,pakai
aja,saja
subahanallah,subhanallah
banhet,sekali
ahhhh,ah
bgttttttt,sekali
mcm,macam
blng,bilang
jgn,jangan
mngasi,mengasih
kmbang,kembang
pg,pagi
tp,tetapi
pulak,pula
nie,ini
nda,tidak
pla,pula
kh,kah
tpi,tetapi
cm,cuma
kw,kau
mcm,macam
kw,kau
pla,pula
yg,yang
blakon,berlakon
sy,saya
nmpk,nampak
sma,sama
lucuu,lucu
lcu,lucu
bngtzt,sekali
lucukkkkk,lucu
inget,ingat
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
ndak,tidak
maak,mak
ngakaaaakkk,mengakak
yank,sayang
bangett,sekali
gokill,gila
kocakkkkkk,kocak
ngekek,mengekek
jgn,jangan
skrg,sekarang
udah,sudah
gak,tidak
capee,cape
pegangin,memegang
nyender,menyandar
bener,benar
manjain,memanjakan
bgt,sekali
peleotin,meleot
bng,bang
ko,kok
gda,tidak ada
yahh,ya
termurahhhh,termurah
pengen,ingin
nyatakan,menyatakan
graaatiiiis,gratis
nyatakan,menyatakan
meriahh,meriah
cantikkkm,cantik
bangett,sekali
parahh,parah
yuuk,ayo
mantabs,mantab
bingits,sekali
yuppss,ya
nyindir,menyindir
bgt,sekali
onoh,sono
bnyk,banyak
anakny,anaknya
staf2nya,staf-stafnya
gara2,gara-gara
ajaa,saja
ngilangin,menghilangkan
begete,sekali
nyindir,menyindir
bgt,sekali
aduhh,aduh
yg,yang
manteppp,mantap
hati2,hati-hati
jangan2,jangan-jangan
anakny,anaknya
kata2nya,kata-katanya
ynk,sayang
"nangis"",menangis-nangis"
"hati"",hati-hati"
"jangan"",jangan-jangan"
emank,memang
klo,kalau
